Fulltime_score_home_predicted,Fulltime_score_away_predicted,Halftime_score_home_predicted,Halftime_score_away_predicted,Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away,wx_temp_c,wx_precip_mm,wx_wind_kph,wx_weathercode,wx_summary,time_bucket,is_in_south_africa,is_main_home_stadium
32.17292131479633,27.249283984071525,12.675833333333333,12.910833333333333,Sharks,Ulster,2025-10-18 16:00:00,Hollywoodbets Kings Park,26.0,34.0,5.0,20.0,23.6,0.0,108.7,3.0,Overcast,late_afternoon,True,True
20.987805791842455,23.708417908679156,11.765,13.08,Leinster,Munster,2025-10-18 18:15:00,Croke Park,14.0,31.0,7.0,21.0,13.5,0.0,101.5,3.0,Overcast,late_afternoon,False,False
14.510487396022494,28.79493626613861,10.796666666666667,12.015,Zebre,Stormers,2025-10-18 20:45:00,Stadio Sergio Lanfranchi,13.0,31.0,7.0,12.0,13.3,0.0,23.4,0.0,Clear,evening,False,True
18.862677613528543,26.30119875396793,10.681666666666667,12.894166666666667,Ospreys,Glasgow Warriors,2025-10-18 20:45:00,Brewery Field,17.0,42.0,10.0,21.0,12.3,0.2,104.8,51.0,Drizzle: light,evening,False,False
28.69274186072281,14.217243231747922,10.415833333333333,11.889166666666666,Glasgow Warriors,Bulls,2025-10-24 20:45:00,Scotstoun Stadium,21.0,12.0,7.0,5.0,9.1,0.0,62.6,3.0,Overcast,evening,False,True
38.563596149683654,26.865785214785223,13.085833333333333,12.4975,Lions,Ulster,2025-10-25 13:45:00,Ellis Park,49.0,31.0,17.0,19.0,28.3,0.0,46.8,0.0,Clear,early_afternoon,True,True
30.19327890026641,22.728063146575646,13.071666666666667,12.800833333333333,Sharks,Scarlets,2025-10-25 16:00:00,Hollywoodbets Kings Park,29.0,19.0,19.0,14.0,27.3,0.0,63.0,0.0,Clear,late_afternoon,True,True
36.5702657620193,16.964450755897257,12.4525,11.815833333333334,Leinster,Zebre,2025-10-25 18:30:00,Aviva Stadium,50.0,26.0,26.0,21.0,9.0,0.0,77.8,1.0,Mainly clear,late_afternoon,False,True
14.893600416906827,27.579103739596587,12.3625,10.900833333333333,Benetton,Stormers,2025-10-25 18:30:00,Stadio Comunale di Monigo,16.0,31.0,16.0,8.0,12.8,0.0,14.4,2.0,Partly cloudy,evening,False,True
26.71583486089439,19.19375149617007,12.4525,11.815833333333334,Dragons RFC,Ospreys,2025-10-25 18:30:00,Rodney Parade,19.0,19.0,7.0,12.0,8.8,0.0,70.2,1.0,Mainly clear,late_afternoon,False,True
19.626502911025177,15.528084317097589,10.886666666666667,11.879166666666666,Munster,Connacht,2025-10-25 20:45:00,Thomond Park,17.0,15.0,12.0,15.0,8.6,0.0,70.6,0.0,Clear,evening,False,True
23.632675048368515,15.990337451825155,12.419166666666667,10.816666666666666,Cardiff,Edinburgh,2025-10-25 20:45:00,Cardiff Arms Park,20.0,19.0,12.0,19.0,7.8,0.0,52.6,2.0,Partly cloudy,evening,False,True
,,,,Ulster,Benetton,2025-11-28 21:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Dragons RFC,Leinster,2025-11-28 21:45:00,Rodney Parade,,,,,,,,,,evening,False,True
,,,,Bulls,Lions,2025-11-29 14:00:00,Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
,,,,Zebre,Cardiff,2025-11-29 15:00:00,Stadio Sergio Lanfranchi,,,,,,,,,,late_afternoon,False,True
,,,,Munster,Stormers,2025-11-29 19:30:00,Thomond Park,,,,,,,,,,late_afternoon,False,True
,,,,Edinburgh,Ospreys,2025-11-29 19:30:00,Hive Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Connacht,Sharks,2025-11-29 21:45:00,Dexcom Stadium,,,,,,,,,,evening,False,True
,,,,Scarlets,Glasgow Warriors,2025-11-29 21:45:00,Parc y Scarlets,,,,,,,,,,evening,False,True
,,,,Cardiff,Scarlets,2025-12-19 21:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Leinster,Ulster,2025-12-19 21:45:00,Aviva Stadium,,,,,,,,,,evening,False,True
,,,,Stormers,Lions,2025-12-20 15:30:00,DHL Stadium,,,,,,,,,,late_afternoon,True,True
,,,,Benetton,Zebre,2025-12-20 16:00:00,Stadio Comunale di Monigo,,,,,,,,,,late_afternoon,False,True
,,,,Glasgow Warriors,Edinburgh,2025-12-20 17:00:00,Hampden Park,,,,,,,,,,late_afternoon,False,False
,,,,Sharks,Bulls,2025-12-20 18:00:00,Hollywoodbets Kings Park,,,,,,,,,,evening,True,True
,,,,Ospreys,Munster,2025-12-20 19:30:00,Brewery Field,,,,,,,,,,late_afternoon,False,False
,,,,Dragons RFC,Connacht,2025-12-20 21:45:00,Rodney Parade,,,,,,,,,,evening,False,True
,,,,Cardiff,Dragons RFC,2025-12-26 17:00:00,Cardiff Arms Park,,,,,,,,,,late_afternoon,False,True
,,,,Scarlets,Ospreys,2025-12-26 19:30:00,Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
,,,,Zebre,Benetton,2025-12-27 16:30:00,Stadio Sergio Lanfranchi,,,,,,,,,,late_afternoon,False,True
,,,,Edinburgh,Glasgow Warriors,2025-12-27 17:00:00,Scottish Gas Murrayfield,,,,,,,,,,late_afternoon,False,False
,,,,Connacht,Ulster,2025-12-27 19:30:00,Dexcom Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Munster,Leinster,2025-12-27 21:45:00,Thomond Park,,,,,,,,,,evening,False,True
,,,,Dragons RFC,Scarlets,2026-01-01 17:00:00,Rodney Parade,,,,,,,,,,late_afternoon,False,True
,,,,Ospreys,Cardiff,2026-01-01 19:30:00,Brewery Field,,,,,,,,,,late_afternoon,False,False
,,,,Ulster,Munster,2026-01-02 21:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Sharks,Lions,2026-01-03 15:30:00,Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
,,,,Stormers,Bulls,2026-01-03 18:00:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Benetton,Edinburgh,2026-01-03 19:30:00,Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
,,,,Leinster,Connacht,2026-01-03 19:30:00,Aviva Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Glasgow Warriors,Zebre,2026-01-03 21:45:00,Scotstoun Stadium,,,,,,,,,,evening,False,True
,,,,Ospreys,Lions,2026-01-23 21:45:00,Brewery Field,,,,,,,,,,evening,False,False
,,,,Edinburgh,Bulls,2026-01-23 21:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Munster,Dragons RFC,2026-01-23 21:45:00,Virgin Media Park,,,,,,,,,,evening,False,False
,,,,Scarlets,Ulster,2026-01-24 17:00:00,Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
,,,,Connacht,Leinster,2026-01-24 19:30:00,Dexcom Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Stormers,Sharks,2026-01-24 19:30:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Zebre,Glasgow Warriors,2026-01-24 21:45:00,Stadio Sergio Lanfranchi,,,,,,,,,,evening,False,True
,,,,Cardiff,Benetton,2026-01-24 21:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Benetton,Scarlets,2026-01-30 21:45:00,Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
,,,,Glasgow Warriors,Munster,2026-01-30 21:45:00,Scotstoun Stadium,,,,,,,,,,evening,False,True
,,,,Lions,Bulls,2026-01-31 14:30:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Sharks,Stormers,2026-01-31 17:00:00,Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
,,,,Zebre,Connacht,2026-01-31 17:00:00,Stadio Sergio Lanfranchi,,,,,,,,,,late_afternoon,False,True
