Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away
Dragons RFC,Scarlets,"Thu 1st January 2026, 05:00pm SAST",Rodney Parade,,,,
Ospreys,Cardiff,"Thu 1st January 2026, 07:30pm SAST",Brewery Field,,,,
Ulster,Munster,"Fri 2nd January 2026, 09:45pm SAST",Affidea Stadium,,,,
Sharks,Lions,"Sat 3rd January 2026, 03:30pm SAST",Hollywoodbets Kings Park,,,,
Stormers,Bulls,"Sat 3rd January 2026, 06:00pm SAST",DHL Stadium,,,,
Benetton,Edinburgh,"Sat 3rd January 2026, 07:30pm SAST",Stadio Comunale di Monigo,,,,
Leinster,Connacht,"Sat 3rd January 2026, 07:30pm SAST",Aviva Stadium,,,,
Glasgow Warriors,Zebre,"Sat 3rd January 2026, 09:45pm SAST",Scotstoun Stadium,,,,
Ospreys,Lions,"Fri 23rd January 2026, 09:45pm SAST",Brewery Field,,,,
Edinburgh,Bulls,"Fri 23rd January 2026, 09:45pm SAST",Hive Stadium,,,,
Munster,Dragons RFC,"Fri 23rd January 2026, 09:45pm SAST",Virgin Media Park,,,,
Scarlets,Ulster,"Sat 24th January 2026, 05:00pm SAST",Parc y Scarlets,,,,
Connacht,Leinster,"Sat 24th January 2026, 07:30pm SAST",Dexcom Stadium,,,,
Stormers,Sharks,"Sat 24th January 2026, 07:30pm SAST",DHL Stadium,,,,
Zebre,Glasgow Warriors,"Sat 24th January 2026, 09:45pm SAST",Stadio Sergio Lanfranchi,,,,
Cardiff,Benetton,"Sat 24th January 2026, 09:45pm SAST",Cardiff Arms Park,,,,
Benetton,Scarlets,"Fri 30th January 2026, 09:45pm SAST",Stadio Comunale di Monigo,,,,
Glasgow Warriors,Munster,"Fri 30th January 2026, 09:45pm SAST",Scotstoun Stadium,,,,
Lions,Bulls,"Sat 31st January 2026, 02:30pm SAST",Ellis Park,,,,
Sharks,Stormers,"Sat 31st January 2026, 05:00pm SAST",Hollywoodbets Kings Park,,,,
Zebre,Connacht,"Sat 31st January 2026, 05:00pm SAST",Stadio Sergio Lanfranchi,,,,
Leinster,Edinburgh,"Sat 31st January 2026, 07:30pm SAST",Aviva Stadium,,,,
Ospreys,Dragons RFC,"Sat 31st January 2026, 09:45pm SAST",Brewery Field,,,,
Ulster,Cardiff,"Sat 31st January 2026, 09:45pm SAST",Affidea Stadium,,,,
Lions,Sharks,"Sat 21st February 2026, 02:00pm SAST",Ellis Park,,,,
Edinburgh,Scarlets,"Fri 27th February 2026, 09:45pm SAST",Hive Stadium,,,,
