Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away
Glasgow Warriors,Edinburgh,"Sun 22nd December 2024, 05:00pm SAST",Hampden Park,33,14,21,0
Dragons RFC,Cardiff,"Thu 26th December 2024, 07:15pm SAST",Rodney Parade,22,24,15,5
Munster,Leinster,"Fri 27th December 2024, 09:35pm SAST",Thomond Park,7,28,0,14
Stormers,Sharks,"Sat 28th December 2024, 05:00pm SAST",DHL Stadium,24,20,5,10
Edinburgh,Glasgow Warriors,"Sat 28th December 2024, 05:00pm SAST",Scottish Gas Murrayfield,10,7,3,0
Zebre,Benetton,"Sat 28th December 2024, 05:00pm SAST",Stadio Sergio Lanfranchi,12,24,7,10
Connacht,Ulster,"Sat 28th December 2024, 09:35pm SAST",Dexcom Stadium,7,17,7,10
Cardiff,Ospreys,"Wed 1st January 2025, 05:00pm SAST",Cardiff Arms Park,13,13,5,3
Scarlets,Dragons RFC,"Wed 1st January 2025, 07:15pm SAST",Parc y Scarlets,32,15,24,3
Ospreys,Benetton,"Fri 24th January 2025, 09:35pm SAST",Swansea.com Stadium,43,0,24,0
Lions,Bulls,"Sat 25th January 2025, 02:45pm SAST",Ellis Park,22,35,11,10
Scarlets,Edinburgh,"Sat 25th January 2025, 05:00pm SAST",Parc y Scarlets,30,24,13,12
Leinster,Stormers,"Sat 25th January 2025, 07:00pm SAST",Aviva Stadium,36,12,15,7
Cardiff,Sharks,"Sat 25th January 2025, 07:15pm SAST",Cardiff Arms Park,22,42,10,21
Dragons RFC,Munster,"Sat 25th January 2025, 09:35pm SAST",Rodney Parade,19,38,0,31
Glasgow Warriors,Connacht,"Sun 26th January 2025, 05:30pm SAST",Scotstoun Stadium,22,19,17,5
Ulster,Zebre,"Sun 26th January 2025, 07:30pm SAST",Affidea Stadium,14,15,0,3
Stormers,Bulls,"Sat 8th February 2025, 02:00pm SAST",DHL Stadium,32,33,17,18
Edinburgh,Zebre,"Fri 14th February 2025, 09:35pm SAST",Hive Stadium,17,22,5,12
Ospreys,Leinster,"Fri 14th February 2025, 09:35pm SAST",Swansea.com Stadium,19,22,7,15
Lions,Stormers,"Sat 15th February 2025, 02:30pm SAST",Ellis Park,30,23,24,6
Bulls,Sharks,"Sat 15th February 2025, 05:00pm SAST",Loftus Versfeld,19,29,7,10
Benetton,Ulster,"Sat 15th February 2025, 07:15pm SAST",Stadio Comunale di Monigo,34,19,17,19
Munster,Scarlets,"Sat 15th February 2025, 07:15pm SAST",Thomond Park,29,8,7,3
Connacht,Cardiff,"Sat 15th February 2025, 09:35pm SAST",Dexcom Stadium,24,19,14,0
Dragons RFC,Glasgow Warriors,"Sun 16th February 2025, 04:00pm SAST",Rodney Parade,20,45,20,24
Bulls,Lions,"Sat 22nd February 2025, 02:00pm SAST",Loftus Versfeld,31,19,17,14
Munster,Edinburgh,"Fri 28th February 2025, 09:35pm SAST",Virgin Media Park,28,34,7,29
Zebre,Dragons RFC,"Fri 28th February 2025, 09:35pm SAST",Stadio Sergio Lanfranchi,31,21,14,21
Lions,Sharks,"Sat 1st March 2025, 02:30pm SAST",Ellis Park,38,14,19,0
Leinster,Cardiff,"Sat 1st March 2025, 05:00pm SAST",Aviva Stadium,42,24,14,12
Bulls,Stormers,"Sat 1st March 2025, 06:15pm SAST",Loftus Versfeld,16,19,9,12
Ulster,Scarlets,"Sat 1st March 2025, 07:15pm SAST",Affidea Stadium,30,28,13,15
Connacht,Benetton,"Sat 1st March 2025, 09:35pm SAST",Dexcom Stadium,38,30,19,27
Glasgow Warriors,Ospreys,"Sat 1st March 2025, 09:35pm SAST",Scotstoun Stadium,31,32,19,22
Sharks,Lions,"Sat 8th March 2025, 02:00pm SAST",Hollywoodbets Kings Park,25,22,12,7
Cardiff,Lions,"Fri 21st March 2025, 09:35pm SAST",Cardiff Arms Park,20,17,10,7
Glasgow Warriors,Munster,"Fri 21st March 2025, 09:35pm SAST",Scotstoun Stadium,28,25,14,15
Sharks,Zebre,"Sat 22nd March 2025, 02:45pm SAST",Hollywoodbets Kings Park,35,34,28,17
Scarlets,Stormers,"Sat 22nd March 2025, 05:00pm SAST",Parc y Scarlets,17,29,7,15
Benetton,Edinburgh,"Sat 22nd March 2025, 05:00pm SAST",Stadio Comunale di Monigo,21,18,11,13
Bulls,Leinster,"Sat 22nd March 2025, 05:00pm SAST",Loftus Versfeld,21,20,6,10
Dragons RFC,Ulster,"Sat 22nd March 2025, 07:15pm SAST",Rodney Parade,30,34,24,14
Ospreys,Connacht,"Sat 22nd March 2025, 07:15pm SAST",Swansea.com Stadium,43,40,31,14
Ulster,Stormers,"Fri 28th March 2025, 09:35pm SAST",Affidea Stadium,38,34,17,17
Edinburgh,Dragons RFC,"Fri 28th March 2025, 09:35pm SAST",Hive Stadium,38,5,26,0
Bulls,Zebre,"Sat 29th March 2025, 02:45pm SAST",Loftus Versfeld,63,24,28,10
Connacht,Munster,"Sat 29th March 2025, 04:30pm SAST",Hastings Insurance MacHale Park,24,30,5,18
Scarlets,Ospreys,"Sat 29th March 2025, 05:00pm SAST",Parc y Scarlets,38,22,17,17
Sharks,Leinster,"Sat 29th March 2025, 07:15pm SAST",Hollywoodbets Kings Park,7,10,0,5
Glasgow Warriors,Lions,"Sat 29th March 2025, 09:35pm SAST",Scotstoun Stadium,42,0,42,0
Benetton,Cardiff,"Sat 29th March 2025, 09:35pm SAST",Stadio Comunale di Monigo,20,19,17,14
Edinburgh,Sharks,"Fri 18th April 2025, 08:35pm SAST",Hive Stadium,17,18,10,6
Lions,Benetton,"Sat 19th April 2025, 01:45pm SAST",Ellis Park,31,42,17,32
Ospreys,Cardiff,"Sat 19th April 2025, 04:00pm SAST",Principality Stadium,19,36,7,22
Stormers,Connacht,"Sat 19th April 2025, 04:00pm SAST",DHL Stadium,34,29,26,24
Munster,Bulls,"Sat 19th April 2025, 06:15pm SAST",Thomond Park,13,16,10,10
Dragons RFC,Scarlets,"Sat 19th April 2025, 06:30pm SAST",Principality Stadium,23,31,8,7
Leinster,Ulster,"Sat 19th April 2025, 08:35pm SAST",Aviva Stadium,41,17,19,10
Zebre,Glasgow Warriors,"Sat 19th April 2025, 08:35pm SAST",Stadio Sergio Lanfranchi,6,14,6,0
Zebre,Edinburgh,"Fri 25th April 2025, 08:35pm SAST",Stadio Sergio Lanfranchi,25,25,12,6
Cardiff,Munster,"Fri 25th April 2025, 08:35pm SAST",Cardiff Arms Park,26,21,12,14
Glasgow Warriors,Bulls,"Fri 25th April 2025, 08:35pm SAST",Scotstoun Stadium,19,26,7,9
Ospreys,Dragons RFC,"Sat 26th April 2025, 04:00pm SAST",Swansea.com Stadium,57,24,14,10
Lions,Connacht,"Sat 26th April 2025, 04:00pm SAST",Ellis Park,26,7,11,0
Stormers,Benetton,"Sat 26th April 2025, 06:15pm SAST",DHL Stadium,56,5,30,0
Scarlets,Leinster,"Sat 26th April 2025, 06:15pm SAST",Parc y Scarlets,35,22,22,15
Ulster,Sharks,"Sat 26th April 2025, 08:35pm SAST",Affidea Stadium,19,22,19,5
Sharks,Ospreys,"Fri 9th May 2025, 07:00pm SAST",Hollywoodbets Kings Park,29,10,14,3
Munster,Ulster,"Fri 9th May 2025, 08:35pm SAST",Thomond Park,38,20,24,20
Bulls,Cardiff,"Sat 10th May 2025, 04:00pm SAST",Loftus Versfeld,45,21,31,0
Stormers,Dragons RFC,"Sat 10th May 2025, 06:15pm SAST",DHL Stadium,48,12,14,0
Benetton,Glasgow Warriors,"Sat 10th May 2025, 06:15pm SAST",Stadio Comunale di Monigo,33,7,19,0
Leinster,Zebre,"Sat 10th May 2025, 06:15pm SAST",Aviva Stadium,76,5,38,0
Connacht,Edinburgh,"Sat 10th May 2025, 08:35pm SAST",Dexcom Stadium,21,31,0,14
Lions,Scarlets,"Sun 11th May 2025, 03:00pm SAST",Ellis Park,19,32,7,17
Stormers,Cardiff,"Fri 16th May 2025, 07:00pm SAST",DHL Stadium,34,24,19,12
Edinburgh,Ulster,"Fri 16th May 2025, 08:35pm SAST",Hive Stadium,47,17,19,12
Munster,Benetton,"Fri 16th May 2025, 09:00pm SAST",Virgin Media Park,30,21,10,14
Bulls,Dragons RFC,"Sat 17th May 2025, 03:00pm SAST",Loftus Versfeld,55,15,26,0
Lions,Ospreys,"Sat 17th May 2025, 05:15pm SAST",Ellis Park,29,28,12,7
Zebre,Connacht,"Sat 17th May 2025, 06:00pm SAST",Stadio Sergio Lanfranchi,12,22,7,12
Sharks,Scarlets,"Sat 17th May 2025, 07:30pm SAST",Hollywoodbets Kings Park,12,3,3,3
Leinster,Glasgow Warriors,"Sat 17th May 2025, 08:35pm SAST",Aviva Stadium,13,5,7,0
Glasgow Warriors,Stormers,"Fri 30th May 2025, 08:35pm SAST",Scotstoun Stadium,36,18,19,13
Bulls,Edinburgh,"Sat 31st May 2025, 01:30pm SAST",Loftus Versfeld,42,33,18,21
Leinster,Scarlets,"Sat 31st May 2025, 04:00pm SAST",Aviva Stadium,33,21,15,14
Sharks,Munster,"Sat 31st May 2025, 06:30pm SAST",Hollywoodbets Kings Park,24,24,0,7
Leinster,Glasgow Warriors,"Sat 7th June 2025, 03:45pm SAST",Aviva Stadium,37,19,25,5
Bulls,Sharks,"Sat 7th June 2025, 06:15pm SAST",Loftus Versfeld,25,13,15,3
Leinster,Bulls,"Sat 14th June 2025, 06:00pm SAST",Croke Park,32,7,19,0
