Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away,wx_temp_c,wx_precip_mm,wx_wind_kph,wx_weathercode,wx_summary
Stormers,Leinster,"Fri 26th September 2025, 07:00pm SAST",DHL Stadium,35.0,0.0,6.0,0.0,20.6,0.0,41.4,0,Clear
Ulster,Dragons RFC,"Fri 26th September 2025, 09:05pm SAST",Affidea Stadium,42.0,21.0,28.0,14.0,12.0,0.0,63.0,3,Overcast
Glasgow Warriors,Sharks,"Fri 26th September 2025, 09:05pm SAST",Scotstoun Stadium,35.0,19.0,14.0,12.0,11.4,0.0,38.5,3,Overcast
Bulls,Ospreys,"Sat 27th September 2025, 02:00pm SAST",Loftus Versfeld,53.0,40.0,19.0,26.0,22.2,1.0,26.6,55,Drizzle: dense
Zebre,Edinburgh,"Sat 27th September 2025, 04:05pm SAST",Stadio Sergio Lanfranchi,31.0,28.0,21.0,14.0,15.7,1.9,14.0,61,Rain: slight
Scarlets,Munster,"Sat 27th September 2025, 06:30pm SAST",Parc y Scarlets,21.0,34.0,0.0,13.0,14.5,0.6,65.9,53,Drizzle: moderate
Cardiff,Lions,"Sat 27th September 2025, 08:45pm SAST",Cardiff Arms Park,33.0,20.0,14.0,13.0,14.4,0.0,51.5,3,Overcast
Connacht,Benetton,"Sat 27th September 2025, 08:45pm SAST",Dexcom Stadium,26.0,15.0,12.0,3.0,10.8,0.0,37.1,3,Overcast
Edinburgh,Ulster,"Fri 3rd October 2025, 02:00am SAST",Hive Stadium,,,,,15.1,0.2,90.4,51,Drizzle: light
Stormers,Ospreys,"Fri 3rd October 2025, 07:00pm SAST",DHL Stadium,26.0,10.0,8.0,10.0,21.7,0.0,49.7,0,Clear
Dragons RFC,Sharks,"Fri 3rd October 2025, 09:05pm SAST",Rodney Parade,17.0,17.0,14.0,17.0,17.5,1.7,139.7,61,Rain: slight
Connacht,Scarlets,"Sat 4th October 2025, 02:00am SAST",Dexcom Stadium,,,,,9.4,0.5,147.6,53,Drizzle: moderate
Benetton,Glasgow Warriors,"Sat 4th October 2025, 06:30pm SAST",Stadio Comunale di Monigo,16.0,14.0,3.0,14.0,14.2,0.0,31.0,3,Overcast
Bulls,Leinster,"Sat 4th October 2025, 06:30pm SAST",Loftus Versfeld,39.0,31.0,22.0,10.0,20.0,0.0,25.2,2,Partly cloudy
Munster,Cardiff,"Sat 4th October 2025, 08:45pm SAST",Thomond Park,23.0,20.0,5.0,5.0,11.9,0.0,98.3,1,Mainly clear
Zebre,Lions,"Sun 5th October 2025, 04:00pm SAST",Stadio Sergio Lanfranchi,22.0,20.0,12.0,3.0,14.9,0.0,62.6,0,Clear
Munster,Edinburgh,"Fri 10th October 2025, 08:45pm SAST",Virgin Media Park,20.0,19.0,10.0,12.0,11.0,0.0,11.9,3,Overcast
Scarlets,Stormers,"Fri 10th October 2025, 08:45pm SAST",Parc y Scarlets,0.0,34.0,0.0,17.0,13.3,0.0,28.8,3,Overcast
Benetton,Lions,"Sat 11th October 2025, 04:00pm SAST",Stadio Comunale di Monigo,41.0,15.0,24.0,10.0,20.6,0.0,22.0,3,Overcast
Ospreys,Zebre,"Sat 11th October 2025, 04:00pm SAST",Brewery Field,24.0,0.0,14.0,0.0,14.5,0.0,35.3,3,Overcast
Glasgow Warriors,Dragons RFC,"Sat 11th October 2025, 06:30pm SAST",Scotstoun Stadium,49.0,0.0,14.0,0.0,14.1,0.0,27.7,1,Mainly clear
Leinster,Sharks,"Sat 11th October 2025, 06:30pm SAST",Aviva Stadium,31.0,5.0,21.0,5.0,10.7,0.0,11.2,3,Overcast
Ulster,Bulls,"Sat 11th October 2025, 08:45pm SAST",Affidea Stadium,28.0,7.0,7.0,7.0,9.0,0.0,2.5,3,Overcast
Cardiff,Connacht,"Sat 11th October 2025, 08:45pm SAST",Cardiff Arms Park,14.0,8.0,7.0,3.0,11.4,0.0,27.7,2,Partly cloudy
Edinburgh,Benetton,"Fri 17th October 2025, 08:45pm SAST",Hive Stadium,43.0,0.0,21.0,0.0,9.2,0.0,26.3,2,Partly cloudy
Connacht,Bulls,"Fri 17th October 2025, 08:45pm SAST",Dexcom Stadium,27.0,28.0,7.0,12.0,12.3,0.0,54.7,3,Overcast
Dragons RFC,Cardiff,"Fri 17th October 2025, 08:45pm SAST",Rodney Parade,17.0,24.0,7.0,17.0,13.5,0.0,45.0,3,Overcast
Lions,Scarlets,"Sat 18th October 2025, 01:45pm SAST",Ellis Park,29.0,18.0,5.0,3.0,16.7,0.1,64.8,51,Drizzle: light
Sharks,Ulster,"Sat 18th October 2025, 04:00pm SAST",Hollywoodbets Kings Park,26.0,34.0,5.0,20.0,23.6,0.0,108.7,3,Overcast
Leinster,Munster,"Sat 18th October 2025, 06:15pm SAST",Croke Park,14.0,31.0,7.0,21.0,13.5,0.0,101.5,3,Overcast
Zebre,Stormers,"Sat 18th October 2025, 08:45pm SAST",Stadio Sergio Lanfranchi,13.0,31.0,7.0,12.0,13.3,0.0,23.4,0,Clear
Ospreys,Glasgow Warriors,"Sat 18th October 2025, 08:45pm SAST",Brewery Field,17.0,42.0,10.0,21.0,12.3,0.2,104.8,51,Drizzle: light
Glasgow Warriors,Bulls,"Fri 24th October 2025, 08:45pm SAST",Scotstoun Stadium,21.0,12.0,7.0,5.0,9.1,0.0,62.6,3,Overcast
Lions,Ulster,"Sat 25th October 2025, 01:45pm SAST",Ellis Park,49.0,31.0,17.0,19.0,28.3,0.0,46.8,0,Clear
Sharks,Scarlets,"Sat 25th October 2025, 04:00pm SAST",Hollywoodbets Kings Park,29.0,19.0,19.0,14.0,27.3,0.0,63.0,0,Clear
Leinster,Zebre,"Sat 25th October 2025, 06:30pm SAST",Aviva Stadium,50.0,26.0,26.0,21.0,9.0,0.0,77.8,1,Mainly clear
Benetton,Stormers,"Sat 25th October 2025, 06:30pm SAST",Stadio Comunale di Monigo,16.0,31.0,16.0,8.0,12.8,0.0,14.4,2,Partly cloudy
Dragons RFC,Ospreys,"Sat 25th October 2025, 06:30pm SAST",Rodney Parade,19.0,19.0,7.0,12.0,8.8,0.0,70.2,1,Mainly clear
Munster,Connacht,"Sat 25th October 2025, 08:45pm SAST",Thomond Park,17.0,15.0,12.0,15.0,8.6,0.0,70.6,0,Clear
Cardiff,Edinburgh,"Sat 25th October 2025, 08:45pm SAST",Cardiff Arms Park,20.0,19.0,12.0,19.0,7.8,0.0,52.6,2,Partly cloudy
Ulster,Benetton,"Fri 28th November 2025, 09:45pm SAST",Affidea Stadium,,,,,,,,,
Dragons RFC,Leinster,"Fri 28th November 2025, 09:45pm SAST",Rodney Parade,,,,,,,,,
Bulls,Lions,"Sat 29th November 2025, 02:00pm SAST",Loftus Versfeld,,,,,,,,,
Zebre,Cardiff,"Sat 29th November 2025, 03:00pm SAST",Stadio Sergio Lanfranchi,,,,,,,,,
Munster,Stormers,"Sat 29th November 2025, 07:30pm SAST",Thomond Park,,,,,,,,,
Edinburgh,Ospreys,"Sat 29th November 2025, 07:30pm SAST",Hive Stadium,,,,,,,,,
Connacht,Sharks,"Sat 29th November 2025, 09:45pm SAST",Dexcom Stadium,,,,,,,,,
Scarlets,Glasgow Warriors,"Sat 29th November 2025, 09:45pm SAST",Parc y Scarlets,,,,,,,,,
Cardiff,Scarlets,"Fri 19th December 2025, 09:45pm SAST",Cardiff Arms Park,,,,,,,,,
Leinster,Ulster,"Fri 19th December 2025, 09:45pm SAST",Aviva Stadium,,,,,,,,,
Stormers,Lions,"Sat 20th December 2025, 03:30pm SAST",DHL Stadium,,,,,,,,,
