Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away
Cardiff,Zebre,"Fri 20th September 2024, 08:35pm SAST",Cardiff Arms Park,22.0,17.0,17,3
Edinburgh,Leinster,"Fri 20th September 2024, 08:35pm SAST",Hive Stadium,31.0,33.0,12,12
Dragons RFC,Ospreys,"Sat 21st September 2024, 04:00pm SAST",Rodney Parade,23.0,21.0,13,16
Munster,Connacht,"Sat 21st September 2024, 06:30pm SAST",Thomond Park,35.0,33.0,14,19
Benetton,Scarlets,"Sat 21st September 2024, 08:35pm SAST",Stadio Comunale di Monigo,20.0,20.0,12,7
Ulster,Glasgow Warriors,"Sat 21st September 2024, 08:45pm SAST",Affidea Stadium,20.0,19.0,10,12
Glasgow Warriors,Benetton,"Fri 27th September 2024, 08:35pm SAST",Scotstoun Stadium,42.0,10.0,14,7
Leinster,Dragons RFC,"Fri 27th September 2024, 08:35pm SAST",Aviva Stadium,34.0,6.0,10,6
Lions,Ulster,"Sat 28th September 2024, 12:55pm SAST",Ellis Park,35.0,22.0,15,5
Bulls,Edinburgh,"Sat 28th September 2024, 03:00pm SAST",Loftus Versfeld,22.0,16.0,12,10
Zebre,Munster,"Sat 28th September 2024, 04:00pm SAST",Stadio Sergio Lanfranchi,42.0,33.0,15,28
Scarlets,Cardiff,"Sat 28th September 2024, 06:15pm SAST",Parc y Scarlets,15.0,24.0,15,12
Ospreys,Stormers,"Sat 28th September 2024, 08:35pm SAST",Brewery Field,37.0,24.0,13,16
Connacht,Sharks,"Sat 28th September 2024, 08:35pm SAST",Dexcom Stadium,36.0,30.0,7,27
Scarlets,Connacht,"Fri 4th October 2024, 08:35pm SAST",Parc y Scarlets,23.0,24.0,14,21
Cardiff,Glasgow Warriors,"Fri 4th October 2024, 08:35pm SAST",Cardiff Arms Park,36.0,52.0,12,33
Lions,Edinburgh,"Sat 5th October 2024, 01:45pm SAST",Ellis Park,55.0,21.0,48,0
Bulls,Ulster,"Sat 5th October 2024, 04:00pm SAST",Loftus Versfeld,47.0,21.0,21,7
Benetton,Leinster,"Sat 5th October 2024, 06:15pm SAST",Stadio Comunale di Monigo,5.0,35.0,0,28
Dragons RFC,Sharks,"Sat 5th October 2024, 06:15pm SAST",Rodney Parade,30.0,33.0,22,12
Munster,Ospreys,"Sat 5th October 2024, 08:35pm SAST",Virgin Media Park,23.0,0.0,18,0
