Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away
Cardiff,Dragons RFC,"Fri 26th December 2025, 05:00pm SAST",Cardiff Arms Park,,,,
Scarlets,Ospreys,"Fri 26th December 2025, 07:30pm SAST",Parc y Scarlets,,,,
Zebre,Benetton,"Sat 27th December 2025, 04:30pm SAST",Stadio Sergio Lanfranchi,,,,
Edinburgh,Glasgow Warriors,"Sat 27th December 2025, 05:00pm SAST",Scottish Gas Murrayfield,,,,
Connacht,Ulster,"Sat 27th December 2025, 07:30pm SAST",Dexcom Stadium,,,,
Munster,Leinster,"Sat 27th December 2025, 09:45pm SAST",Thomond Park,,,,
Dragons RFC,Scarlets,"Thu 1st January 2026, 05:00pm SAST",Rodney Parade,,,,
Ospreys,Cardiff,"Thu 1st January 2026, 07:30pm SAST",Brewery Field,,,,
Ulster,Munster,"Fri 2nd January 2026, 09:45pm SAST",Affidea Stadium,,,,
Sharks,Lions,"Sat 3rd January 2026, 03:30pm SAST",Hollywoodbets Kings Park,,,,
Stormers,Bulls,"Sat 3rd January 2026, 06:00pm SAST",DHL Stadium,,,,
Benetton,Edinburgh,"Sat 3rd January 2026, 07:30pm SAST",Stadio Comunale di Monigo,,,,
Leinster,Connacht,"Sat 3rd January 2026, 07:30pm SAST",Aviva Stadium,,,,
Glasgow Warriors,Zebre,"Sat 3rd January 2026, 09:45pm SAST",Scotstoun Stadium,,,,
Ospreys,Lions,"Fri 23rd January 2026, 09:45pm SAST",Brewery Field,,,,
Edinburgh,Bulls,"Fri 23rd January 2026, 09:45pm SAST",Hive Stadium,,,,
Munster,Dragons RFC,"Fri 23rd January 2026, 09:45pm SAST",Virgin Media Park,,,,
Scarlets,Ulster,"Sat 24th January 2026, 05:00pm SAST",Parc y Scarlets,,,,
Connacht,Leinster,"Sat 24th January 2026, 07:30pm SAST",Dexcom Stadium,,,,
Stormers,Sharks,"Sat 24th January 2026, 07:30pm SAST",DHL Stadium,,,,
Zebre,Glasgow Warriors,"Sat 24th January 2026, 09:45pm SAST",Stadio Sergio Lanfranchi,,,,
Cardiff,Benetton,"Sat 24th January 2026, 09:45pm SAST",Cardiff Arms Park,,,,
Benetton,Scarlets,"Fri 30th January 2026, 09:45pm SAST",Stadio Comunale di Monigo,,,,
Glasgow Warriors,Munster,"Fri 30th January 2026, 09:45pm SAST",Scotstoun Stadium,,,,
Lions,Bulls,"Sat 31st January 2026, 02:30pm SAST",Ellis Park,,,,
Sharks,Stormers,"Sat 31st January 2026, 05:00pm SAST",Hollywoodbets Kings Park,,,,
Zebre,Connacht,"Sat 31st January 2026, 05:00pm SAST",Stadio Sergio Lanfranchi,,,,
Leinster,Edinburgh,"Sat 31st January 2026, 07:30pm SAST",Aviva Stadium,,,,
Ospreys,Dragons RFC,"Sat 31st January 2026, 09:45pm SAST",Brewery Field,,,,
Ulster,Cardiff,"Sat 31st January 2026, 09:45pm SAST",Affidea Stadium,,,,
Lions,Sharks,"Sat 21st February 2026, 02:00pm SAST",Ellis Park,,,,
Edinburgh,Scarlets,"Fri 27th February 2026, 09:45pm SAST",Hive Stadium,,,,
Cardiff,Leinster,"Fri 27th February 2026, 09:45pm SAST",Cardiff Arms Park,,,,
Lions,Stormers,"Sat 28th February 2026, 02:30pm SAST",Ellis Park,,,,
Bulls,Sharks,"Sat 28th February 2026, 05:00pm SAST",Loftus Versfeld,,,,
Connacht,Glasgow Warriors,"Sat 28th February 2026, 05:00pm SAST",Dexcom Stadium,,,,
Munster,Zebre,"Sat 28th February 2026, 07:30pm SAST",Thomond Park,,,,
Dragons RFC,Benetton,"Sat 28th February 2026, 07:30pm SAST",Rodney Parade,,,,
Ospreys,Ulster,"Sat 28th February 2026, 09:45pm SAST",Brewery Field,,,,
Bulls,Stormers,"Sat 14th March 2026, 02:00pm SAST",Loftus Versfeld,,,,
Bulls,Cardiff,"Fri 20th March 2026, 07:00pm SAST",Loftus Versfeld,,,,
Scarlets,Zebre,"Fri 20th March 2026, 09:45pm SAST",Parc y Scarlets,,,,
Ulster,Connacht,"Fri 20th March 2026, 09:45pm SAST",Affidea Stadium,,,,
Lions,Edinburgh,"Sat 21st March 2026, 02:45pm SAST",Ellis Park,,,,
Sharks,Munster,"Sat 21st March 2026, 05:00pm SAST",Hollywoodbets Kings Park,,,,
Benetton,Ospreys,"Sat 21st March 2026, 05:00pm SAST",Stadio Comunale di Monigo,,,,
Glasgow Warriors,Leinster,"Sat 21st March 2026, 07:30pm SAST",Scotstoun Stadium,,,,
Stormers,Dragons RFC,"Sat 21st March 2026, 07:30pm SAST",TBC,,,,
Sharks,Cardiff,"Fri 27th March 2026, 07:00pm SAST",Hollywoodbets Kings Park,,,,
Glasgow Warriors,Benetton,"Fri 27th March 2026, 09:45pm SAST",Scotstoun Stadium,,,,
Bulls,Munster,"Sat 28th March 2026, 02:00pm SAST",Loftus Versfeld,,,,
Connacht,Ospreys,"Sat 28th March 2026, 04:15pm SAST",Dexcom Stadium,,,,
Lions,Dragons RFC,"Sat 28th March 2026, 04:30pm SAST",Ellis Park,,,,
Stormers,Edinburgh,"Sat 28th March 2026, 07:00pm SAST",DHL Stadium,,,,
Leinster,Scarlets,"Sat 28th March 2026, 07:30pm SAST",TBC,,,,
Zebre,Ulster,"Sat 28th March 2026, 09:45pm SAST",Stadio Sergio Lanfranchi,,,,
Edinburgh,Zebre,"Fri 17th April 2026, 08:45pm SAST",Hive Stadium,,,,
Ulster,Leinster,"Fri 17th April 2026, 08:45pm SAST",Affidea Stadium,,,,
Dragons RFC,Bulls,"Fri 17th April 2026, 08:45pm SAST",Rodney Parade,,,,
Lions,Glasgow Warriors,"Sat 18th April 2026, 03:45pm SAST",Ellis Park,,,,
Stormers,Connacht,"Sat 18th April 2026, 06:15pm SAST",DHL Stadium,,,,
Scarlets,Cardiff,"Sat 18th April 2026, 06:30pm SAST",Parc y Scarlets,,,,
Benetton,Munster,"Sat 18th April 2026, 08:45pm SAST",Stadio Comunale di Monigo,,,,
Ospreys,Sharks,"Sat 18th April 2026, 08:45pm SAST",Brewery Field,,,,
Edinburgh,Sharks,"Fri 24th April 2026, 08:45pm SAST",Hive Stadium,,,,
Zebre,Dragons RFC,"Fri 24th April 2026, 08:45pm SAST",Stadio Sergio Lanfranchi,,,,
Cardiff,Ospreys,"Fri 24th April 2026, 08:45pm SAST",Cardiff Arms Park,,,,
Lions,Connacht,"Sat 25th April 2026, 04:00pm SAST",Ellis Park,,,,
Stormers,Glasgow Warriors,"Sat 25th April 2026, 06:30pm SAST",DHL Stadium,,,,
Munster,Ulster,"Sat 25th April 2026, 06:30pm SAST",Thomond Park,,,,
Scarlets,Bulls,"Sat 25th April 2026, 08:45pm SAST",Parc y Scarlets,,,,
Benetton,Leinster,"Sat 25th April 2026, 08:45pm SAST",Stadio Comunale di Monigo,,,,
Glasgow Warriors,Cardiff,"Fri 8th May 2026, 08:45pm SAST",Scotstoun Stadium,,,,
Ulster,Stormers,"Fri 8th May 2026, 08:45pm SAST",Affidea Stadium,,,,
Bulls,Zebre,"Sat 9th May 2026, 01:45pm SAST",Loftus Versfeld,,,,
Sharks,Benetton,"Sat 9th May 2026, 04:00pm SAST",Hollywoodbets Kings Park,,,,
Ospreys,Scarlets,"Sat 9th May 2026, 06:30pm SAST",Brewery Field,,,,
Leinster,Lions,"Sat 9th May 2026, 06:30pm SAST",TBC,,,,
Dragons RFC,Edinburgh,"Sat 9th May 2026, 08:45pm SAST",Rodney Parade,,,,
Connacht,Munster,"Sat 9th May 2026, 08:45pm SAST",Dexcom Stadium,,,,
Cardiff,Stormers,"Fri 15th May 2026, 08:45pm SAST",Cardiff Arms Park,,,,
Ulster,Glasgow Warriors,"Fri 15th May 2026, 08:45pm SAST",Affidea Stadium,,,,
Edinburgh,Connacht,"Fri 15th May 2026, 08:45pm SAST",Hive Stadium,,,,
Sharks,Zebre,"Sat 16th May 2026, 01:45pm SAST",Hollywoodbets Kings Park,,,,
Bulls,Benetton,"Sat 16th May 2026, 04:00pm SAST",Loftus Versfeld,,,,
Leinster,Ospreys,"Sat 16th May 2026, 06:15pm SAST",TBC,,,,
Scarlets,Dragons RFC,"Sat 16th May 2026, 06:15pm SAST",Parc y Scarlets,,,,
Munster,Lions,"Sat 16th May 2026, 08:45pm SAST",Thomond Park,,,,
